cbg_fips,latitude,longitude
3.6005E+11,40.79841839,-73.88878738
3.6005E+11,40.79113272,-73.8826516
3.6005E+11,40.81396885,-73.86087228
3.6005E+11,40.8117347,-73.86048169
3.6005E+11,40.80817227,-73.85674033
3.6005E+11,40.80749415,-73.84931227
3.6005E+11,40.81400994,-73.85736347
3.6005E+11,40.81269548,-73.8531607
3.6005E+11,40.80693817,-73.85195105
3.6005E+11,40.81304614,-73.84793674
3.6005E+11,40.8207019,-73.85989831
3.6005E+11,40.81634157,-73.85988234
3.6005E+11,40.82261169,-73.85679284
3.6005E+11,40.81872656,-73.85727441
3.6005E+11,40.80071248,-73.90674327
3.6005E+11,40.80617064,-73.92484575
3.6005E+11,40.80324528,-73.91756678
3.6005E+11,40.80253267,-73.91102391
3.6005E+11,40.80264398,-73.9147097
3.6005E+11,40.7995744,-73.89829468
3.6005E+11,40.81794997,-73.86409276
3.6005E+11,40.81584068,-73.86359705
3.6005E+11,40.81810248,-73.8683428
3.6005E+11,40.81551075,-73.86710188
3.6005E+11,40.81962901,-73.86787418
3.6005E+11,40.81979691,-73.86609309
3.6005E+11,40.8095582,-73.92700125
3.6005E+11,40.80923657,-73.92426236
3.6005E+11,40.80828714,-73.92496543
3.6005E+11,40.81698819,-73.8787355
3.6005E+11,40.81647611,-73.87115927
3.6005E+11,40.80702653,-73.91901158
3.6005E+11,40.80589739,-73.91928183
3.6005E+11,40.80817803,-73.92171231
3.6005E+11,40.80752984,-73.92218784
3.6005E+11,40.80673695,-73.92189454
3.6005E+11,40.80440405,-73.91551203
3.6005E+11,40.80550471,-73.91688947
3.6005E+11,40.80632339,-73.91195024
3.6005E+11,40.80519955,-73.91344777
3.6005E+11,40.80686469,-73.91558396
3.6005E+11,40.80787692,-73.91498325
3.6005E+11,40.82018271,-73.88254267
3.6005E+11,40.82219767,-73.87898402
3.6005E+11,40.82097883,-73.87455784
3.6005E+11,40.82033345,-73.87912115
3.6005E+11,40.82064997,-73.87730837
3.6005E+11,40.8098913,-73.90570023
3.6005E+11,40.80762067,-73.91012613
3.6005E+11,40.80848248,-73.91293869
3.6005E+11,40.80929238,-73.91468436
3.6005E+11,40.80999123,-73.90874626
3.6005E+11,40.81278359,-73.90995065
3.6005E+11,40.81222979,-73.90796448
3.6005E+11,40.81146507,-73.91217553
3.6005E+11,40.82030269,-73.86334495
3.6005E+11,40.80820201,-73.91772191
3.6005E+11,40.81055081,-73.92331469
3.6005E+11,40.8112616,-73.92532262
3.6005E+11,40.80999347,-73.91998545
3.6005E+11,40.80900016,-73.92062283
3.6005E+11,40.82828031,-73.85833671
3.6005E+11,40.81026272,-73.91646637
3.6005E+11,40.81126647,-73.91912485
3.6005E+11,40.8125844,-73.92371934
3.6005E+11,40.81243451,-73.92192346
3.6005E+11,40.8240264,-73.86732737
3.6005E+11,40.82232718,-73.86507241
3.6005E+11,40.82503053,-73.86322527
3.6005E+11,40.8226133,-73.86230797
3.6005E+11,40.82347196,-73.85995748
3.6005E+11,40.82478971,-73.85738766
3.6005E+11,40.82427096,-73.86483802
3.6005E+11,40.81435082,-73.91506052
3.6005E+11,40.81409441,-73.91793435
3.6005E+11,40.81222984,-73.91730112
3.6005E+11,40.81286818,-73.91688653
3.6005E+11,40.82651632,-73.86656323
3.6005E+11,40.82666262,-73.86884611
3.6005E+11,40.82702053,-73.86267406
3.6005E+11,40.82581038,-73.87075734
3.6005E+11,40.82241831,-73.86918274
3.6005E+11,40.82815854,-73.87407299
3.6005E+11,40.82616561,-73.87456973
3.6005E+11,40.824823,-73.8792457
3.6005E+11,40.82500085,-73.87785968
3.6005E+11,40.82512757,-73.87693416
3.6005E+11,40.82525068,-73.87600753
3.6005E+11,40.82731496,-73.87888333
3.6005E+11,40.82716437,-73.88027402
3.6005E+11,40.82746539,-73.87748117
3.6005E+11,40.82760895,-73.87655493
3.6005E+11,40.81251276,-73.92970008
3.6005E+11,40.81358977,-73.92613671
3.6005E+11,40.81506086,-73.92249317
3.6005E+11,40.82542005,-73.88266549
3.6005E+11,40.82706406,-73.88120417
3.6005E+11,40.85136273,-73.92249476
3.6005E+11,40.85307876,-73.92144763
3.6005E+11,40.83009309,-73.87761985
3.6005E+11,40.82985913,-73.8799662
3.6005E+11,40.82968172,-73.88245316
